empresa,puntuacion_total,categoria,dimensiones,razonamiento_breve,patron_detectado,recomendacion
Ingeniería de Procesos Industriales,10,Encaje parcial,"{'encaje_icp': 3, 'madurez_problema': 1, 'capacidad_decision': 3, 'timing': 2, 'capacidad_presupuestaria': 1}","ICP perfecto (sector industrial, tamaño, CEO directa) pero dolor expresado de forma genérica sin diagnóstico concreto. Presión temporal puede llevar a expectativas de solución mágica incompatibles con metodología boutique.",dolor_generico_sin_diagnostico,Diagnóstico obligatorio como primer paso. Necesario mapear el sistema comercial actual antes de comprometer intervención específica ante expectativas de resultado acelerado.
Equipos de Frío Industrial Levante,8,Encaje débil,"{'encaje_icp': 1, 'madurez_problema': 2, 'capacidad_decision': 2, 'timing': 2, 'capacidad_presupuestaria': 1}",Empresa bajo el umbral de empleados (48 vs 50+) y con señales de ticket medio bajo que pueden limitar capacidad de inversión. El problema está reconocido pero aún difuso (equipo vs producto). Gerente Comercial con visión limitada necesita escalado a decisor final.,dolor_generico_sin_diagnostico,"Re-cualificar escalando a CEO o propietario. Si confirman presupuesto disponible, ofrecer Diagnóstico como punto de entrada para mapear origen del problema."
Productos de Higiene Profesional SL,14,Encaje claro,"{'encaje_icp': 3, 'madurez_problema': 3, 'capacidad_decision': 3, 'timing': 3, 'capacidad_presupuestaria': 2}","Encaje ICP perfecto: B2B industrial, tamaño y facturación dentro del rango, ciclo consultivo. Reconocimiento explícito de problema sistémico (rotación comercial recurrente), decisor pleno con mandato de solución, y urgencia clara al llevar solo 3 meses en el puesto.",sistema_comercial_roto,Diagnóstico como entry point inmediato. La rotación recurrente y pregunta directa por diagnóstico de raíz indican necesidad de mapeo sistémico previo a cualquier intervención.
Maquinaria de Construcción del Norte,8,Encaje débil,"{'encaje_icp': 2, 'madurez_problema': 1, 'capacidad_decision': 2, 'timing': 1, 'capacidad_presupuestaria': 2}","Encaja en ICP por sector, tamaño y facturación, pero el dolor declarado es estructural-organizativo, no de sistema comercial. El contacto es decisor pero el problema requiere clarificación de alcance antes de cualquier propuesta.",dolor_generico_sin_diagnostico,Re-cualificar problema mediante conversación diagnóstica profunda. Validar si existe componente comercial sistémico o es puramente reorganización de equipos.
Servicios Tecnológicos Industriales,9,Encaje parcial,"{'encaje_icp': 1, 'madurez_problema': 2, 'capacidad_decision': 3, 'timing': 1, 'capacidad_presupuestaria': 2}","Empresa fuera de ICP por tamaño (35 empleados vs 50-200), pero CEO accesible y problema típico bien articulado. Facturación en rango mínimo y capacidad presupuestaria limitada por escala.",fuera_icp_tamano,Diagnóstico como entry point. Empresa pequeña pero dolor claro; validar presupuesto disponible antes de proponer intervención mayor.
Acabados Superficiales del Mediterráneo,14,Encaje claro,"{'encaje_icp': 3, 'madurez_problema': 3, 'capacidad_decision': 3, 'timing': 2, 'capacidad_presupuestaria': 3}","ICP perfecto: industrial B2B, tamaño y facturación ideal, ciclo consultivo. Problema sistémico articulado con claridad: desfase metodológico ante profesionalización del comprador. Decisor pleno con CEO involucrado y presupuesto disponible.",sistema_comercial_roto,Proponer Diagnóstico seguido de Core o Transformación. La madurez del problema y señal de necesidad de acompañamiento largo sugieren Retainer post-proyecto.
Calderas y Quemadores Industriales,10,Encaje parcial,"{'encaje_icp': 3, 'madurez_problema': 3, 'capacidad_decision': 1, 'timing': 2, 'capacidad_presupuestaria': 1}","ICP perfecto: industrial B2B, tamaño ideal, ciclo consultivo. Diagnóstico del problema muy maduro (transición producto-solución). Limitación crítica: Director Comercial sin mandato CEO confirmado, capacidad de decisión comprometida. Presupuesto probable pero sin validar.",decisor_equivocado,Re-cualificar involucrando al CEO. El cambio estratégico declarado requiere validación de dirección general antes de proponer Diagnóstico o Quick Win.
Maquinaria Hortofrutícola SL,6,Encaje débil,"{'encaje_icp': 1, 'madurez_problema': 0, 'capacidad_decision': 2, 'timing': 0, 'capacidad_presupuestaria': 3}","Empresa fuera de ICP por tamaño (38 empleados, umbral 50). Dolor totalmente genérico sin diagnóstico articulado. Gerente con capacidad de decisión pero problema superficial. Facturación permite inversión pero sin claridad sobre qué resolver.",fuera_icp_tamano,Descartar como cliente potencial actual. Empresa bajo umbral ICP y dolor no articulado impiden intervención efectiva en este momento.
Soluciones de Embalaje Sostenible,8,Encaje débil,"{'encaje_icp': 1, 'madurez_problema': 2, 'capacidad_decision': 3, 'timing': 1, 'capacidad_presupuestaria': 1}","Empresa fuera de ICP por tamaño (28 empleados vs 50-200) y facturación (4M vs 5-50M). Dolor articulado correctamente, decisor pleno, pero sin urgencia clara ni capacidad presupuestaria para productos de ticket medio-alto.",fuera_icp_tamano,Diagnóstico como único producto viable dado el tamaño. Considerar descarte si no hay presupuesto mínimo o re-cualificar en 12 meses cuando crucen umbral ICP.
Equipamientos Hosteleros Industriales,11,Encaje parcial,"{'encaje_icp': 3, 'madurez_problema': 2, 'capacidad_decision': 2, 'timing': 2, 'capacidad_presupuestaria': 2}","Encaje ICP perfecto: sector industrial B2B, tamaño apropiado, ciclo consultivo. Problema articulado pero táctico (trade-up) sin diagnóstico sistémico profundo. Director Comercial con CEO involucrado sugiere capacidad de decisión real pero requiere validación conjunta.",buen_encaje_timing_largo,Diagnóstico como primer paso. Problema de trade-up puede ser síntoma de sistema más profundo que requiere mapeo completo antes de intervenir.
Componentes Eléctricos Industriales SA,14,Encaje claro,"{'encaje_icp': 3, 'madurez_problema': 3, 'capacidad_decision': 3, 'timing': 2, 'capacidad_presupuestaria': 3}","ICP perfecto: B2B industrial, 180 empleados, 26M€ facturación. CEO articula problema sistémico reconociendo rezago comercial tras digitalización. Decisor pleno con capacidad presupuestaria clara.",sistema_comercial_roto,Diagnóstico como entry point inmediato. La brecha entre digitalización corporativa y área comercial señala problema sistémico que requiere mapeo completo antes de intervención mayor.
Pinturas Industriales y Recubrimientos,6,Encaje débil,"{'encaje_icp': 1, 'madurez_problema': 1, 'capacidad_decision': 2, 'timing': 1, 'capacidad_presupuestaria': 1}","Empresa por debajo del umbral ICP (42 empleados, 7M€). Gerente con sesgo de confirmación y resistencia al diagnóstico real. Tensión relacional que compromete viabilidad de intervención consultiva.",fuera_icp_tamano,Descartar como cliente potencial. Tamaño insuficiente y resistencia al diagnóstico hacen inviable cualquier intervención de metodología consultiva.
Metalúrgica Especial del Cantábrico,14,Encaje claro,"{'encaje_icp': 3, 'madurez_problema': 3, 'capacidad_decision': 3, 'timing': 3, 'capacidad_presupuestaria': 2}","ICP perfecto: industrial B2B, tamaño ideal, ciclo consultivo, decisora plena. Problema articulado con precisión: presión competitiva aguda y necesidad de vender valor versus precio. Disparador claro y CEO alineado.",sistema_comercial_roto,Diagnóstico como entry point inmediato. La presión competitiva y el reconocimiento explícito del problema justifican mapeo completo antes de intervención mayor.
Sistemas de Pesaje Industrial SL,4,No encaje,"{'encaje_icp': 0, 'madurez_problema': 1, 'capacidad_decision': 2, 'timing': 0, 'capacidad_presupuestaria': 1}","Empresa fuera de ICP por tamaño (22 empleados vs mínimo 50). Dolor genérico de marketing, no de sistema comercial. Director Comercial identificado pero problema mal diagnosticado.",fuera_icp_tamano,Descartar como cliente potencial. Derivar a agencia de demand generation especializada en captación B2B industrial.
Servicios de Calibración y Metrología,6,Encaje débil,"{'encaje_icp': 1, 'madurez_problema': 1, 'capacidad_decision': 3, 'timing': 0, 'capacidad_presupuestaria': 1}","Empresa fuera de ICP por tamaño (32 empleados, bajo umbral de 50) y facturación (4.5M€, bajo 5M€). CEO con capacidad de decisión pero problema reactivo post-contratación, sin diagnóstico sistémico previo. Timing inadecuado para consultoría estratégica.",fuera_icp_tamano,Formación específica para el comercial nuevo. Empresa demasiado pequeña para proyectos consultivos pero el momento justifica capacitación puntual.
Soluciones de Iluminación Profesional,14,Encaje claro,"{'encaje_icp': 3, 'madurez_problema': 3, 'capacidad_decision': 3, 'timing': 2, 'capacidad_presupuestaria': 3}","ICP ideal: B2B industrial, tamaño correcto, facturación adecuada. Diagnóstico autopropuesto con la frase exacta 'algo falla en el sistema'. Director Comercial con mandato claro. Empresa con margen suficiente para inversión consultiva.",sistema_comercial_roto,Diagnóstico como entry point. El patrón sistémico requiere mapear el problema completo antes de cualquier intervención mayor.
Soldadura y Procesos Industriales,4,No encaje,"{'encaje_icp': 2, 'madurez_problema': 0, 'capacidad_decision': 1, 'timing': 0, 'capacidad_presupuestaria': 1}","Encaje sectorial y tamaño correctos, pero dolor completamente genérico sin diagnóstico propio. Gerente operativo sin capacidad de decisión clara sobre inversión en consultoría comercial.",dolor_generico_sin_diagnostico,"Descartar como cliente potencial actual. Sin problema articulado ni decisor adecuado, no procede inversión comercial adicional."
Reciclaje y Economía Circular Industrial,14,Encaje claro,"{'encaje_icp': 3, 'madurez_problema': 3, 'capacidad_decision': 3, 'timing': 3, 'capacidad_presupuestaria': 2}","ICP perfecto: B2B industrial, tamaño ideal, ciclo consultivo. Problema estratégico articulado con claridad: reposicionamiento de coste a valor. Directora Comercial con mandato ejecutivo. Disparador claro: transformación regulatoria del sector. Presupuesto probable para proyecto medio.",sistema_comercial_roto,"Diagnóstico como entry point. El cambio de posicionamiento requiere mapear argumentario, perfiles comerciales y estructura de oferta antes de intervención mayor."
Distribución Industrial del Levante,14,Encaje claro,"{'encaje_icp': 3, 'madurez_problema': 3, 'capacidad_decision': 3, 'timing': 2, 'capacidad_presupuestaria': 3}","ICP perfecto: B2B industrial, tamaño ideal, CEO directo. Dolor articulado con síntoma sistémico claro (heterogeneidad inexplicable en equipo comercial). Decisor pleno con capacidad presupuestaria evidente por facturación. Único punto débil: sin urgencia explícita declarada.",sistema_comercial_roto,Diagnóstico como primer paso. La heterogeneidad inexplicable en resultados requiere mapeo completo del sistema antes de intervención mayor.
Maquinaria de Lavandería Industrial,2,No encaje,"{'encaje_icp': 0, 'madurez_problema': 0, 'capacidad_decision': 1, 'timing': 0, 'capacidad_presupuestaria': 1}","Empresa fuera de ICP por tamaño (30 empleados, objetivo 50-200) y facturación (4.5M, objetivo 5M+). No hay problema articulado, solo presión externa genérica por tendencia tecnológica sin diagnóstico real.",decision_por_moda,Descartar como cliente potencial actual. No hay dolor genuino ni encaje dimensional con ICP de la boutique.
Servicios Industriales del Sur SL,8,Encaje débil,"{'encaje_icp': 1, 'madurez_problema': 2, 'capacidad_decision': 2, 'timing': 2, 'capacidad_presupuestaria': 1}","Empresa bajo umbral ICP (45 empleados vs 50+ requeridos, 7M€ vs 5M€ mínimo). Problema reconocido con disparador claro (Director Comercial nuevo, presión competitiva). Sin embargo, tamaño limita capacidad presupuestaria y complejidad del sistema comercial.",fuera_icp_tamano,Diagnóstico como único entry point viable dado el tamaño. Evaluar si estructura comercial justifica intervención o descartar si equipo menor a 3 personas.
Productos Químicos Industriales del Norte,14,Encaje claro,"{'encaje_icp': 3, 'madurez_problema': 3, 'capacidad_decision': 3, 'timing': 2, 'capacidad_presupuestaria': 3}","ICP perfecto: B2B industrial, tamaño ideal, CEO decisor con diagnóstico claro del problema sistémico. Reconoce que es transformación cultural, no herramienta. Único punto débil es timing largo.",sistema_comercial_roto,"Diagnóstico como entry point. El patrón sistémico y la madurez del problema requieren mapear antes de intervención mayor, aunque el perfil justifica Core o Transformación posteriormente."
Soluciones de Automatización Logística,14,Encaje claro,"{'encaje_icp': 3, 'madurez_problema': 3, 'capacidad_decision': 3, 'timing': 2, 'capacidad_presupuestaria': 3}","ICP perfecto: B2B industrial, tamaño ideal, ciclo consultivo confirmado, tickets altos. Problema sistémico articulado con claridad: ciclo largo y pérdida de operaciones indica fallo metodológico. Director Comercial decisor con acceso a CEO.",sistema_comercial_roto,Diagnóstico como entry point. El patrón sistémico requiere mapear el problema completo antes de cualquier intervención mayor.
Empresa de Servicios Energéticos,10,Encaje parcial,"{'encaje_icp': 2, 'madurez_problema': 3, 'capacidad_decision': 2, 'timing': 2, 'capacidad_presupuestaria': 1}","Problema sistémico bien articulado (falta método consultivo, competencia por precio) y decisor adecuado, pero empresa está bajo el umbral de tamaño ICP (38 vs 50+ empleados) y facturación límite inferior (6M). Capacidad presupuestaria probable limitada dado tamaño.",fuera_icp_tamano,Diagnóstico como única entrada viable. Tamaño fuera de ICP estándar requiere validar capacidad económica antes de proponer intervención mayor.
Máquinas Herramienta de Precisión,10,Encaje parcial,"{'encaje_icp': 3, 'madurez_problema': 1, 'capacidad_decision': 3, 'timing': 1, 'capacidad_presupuestaria': 2}","Encaje ICP perfecto: sector industrial B2B, tamaño ideal, CEO decisor. Sin embargo, el dolor declarado es superficial y desplazado al marketing, sin reconocimiento del problema sistémico comercial. Falta urgencia temporal clara.",dolor_generico_sin_diagnostico,Diagnóstico como primer paso obligatorio. El síntoma marketing-ventas requiere mapear el sistema completo antes de cualquier intervención.
Componentes para Energías Renovables,14,Encaje claro,"{'encaje_icp': 3, 'madurez_problema': 3, 'capacidad_decision': 3, 'timing': 3, 'capacidad_presupuestaria': 2}","ICP perfecto: industrial B2B, tamaño ideal, ciclo consultivo. Dolor articulado con diagnóstico ('por qué no capturamos crecimiento'), decisor con mandato claro del CEO, disparador fuerte (presión competitiva aguda). Presupuesto disponible confirmado.",sistema_comercial_roto,Diagnóstico como entry point inmediato. El patrón sistémico y la urgencia del CEO justifican mapeo completo antes de intervención mayor.
Industria Cárnica del Centro SL,14,Encaje claro,"{'encaje_icp': 3, 'madurez_problema': 3, 'capacidad_decision': 3, 'timing': 2, 'capacidad_presupuestaria': 3}","Encaje ICP perfecto: industrial B2B, 140 empleados, 21M€ facturación. Problema sistémico bien articulado (pérdida de cuentas sin diagnóstico claro). Director Comercial es decisor pleno en empresa del tamaño adecuado. Capacidad presupuestaria clara por volumen de negocio.",sistema_comercial_roto,Diagnóstico como entry point inmediato. El dolor sistémico requiere mapeo completo antes de intervención mayor.
Soluciones de Climatización Profesional,11,Encaje parcial,"{'encaje_icp': 3, 'madurez_problema': 2, 'capacidad_decision': 2, 'timing': 2, 'capacidad_presupuestaria': 2}","ICP perfecto: sector industrial B2B, tamaño ideal, facturación adecuada. Gerente nueva reconoce necesidad de diagnóstico externo objetivo pero aún no articula problema específico del sistema comercial. Decisora con autoridad probable pero con solo 2 meses en el puesto.",buen_encaje_timing_largo,"Diagnóstico como entrada natural. Gerente nueva necesita mapear situación antes de cualquier intervención, timing alineado con su onboarding."
